Name,Telescope,Classification,RA,DEC,Redshift,u_redshift,"DM_MW,ISM",DM_obs,u_obs,Reference,Observation
FRB 20121102A,VLA,REPEAT,05:32:09.000,33:05:13.00,0.19273,(8),188.0,557.0,2.0,arXiv:1701.01098,
FRB 20171020A,ASKAP,NON_REPEAT,22:15:00.000,-19:40:00.00,0.0087,,37,114,0.2,arXiv:1810.04354,Very low redshift. It dosen't match with any SNe data. 
FRB 20180301A,VLA,REPEAT,06:12:43.400,04:33:44.80,0.3305,0.0,152.0,536.0,8.0,arXiv:2108.01282,
FRB 20180814,CHIME,REPEAT,04:22:09.6,73:37:47.9,0.068,,87.75,189.4,0.4,arXiv:2212.11941,
FRB 20180916B,EVN,REPEAT,01:56:40.800,65:44:24.00,0.0337 ,0.0002,200.0,348.80,0.2,arXiv:2001.02222,
FRB 20180924B,ASKAP,NON_REPEAT,21:44:25.255,-40:54:00.10,0.3214,(2),40.5,361.42,0.06,arXiv:1906.11476,
FRB 20181030,CHIME,REPEAT,10:33:24.0,73:47:24.0,0.0039,,41,103.5,0.3,arXiv:2108.12122,Very low redshift. It dosen't match with any SNe data.
FRB 20181112A,ASKAP,NON_REPEAT,21:49:23.630,-52:58:15.39,0.4755,(2),102.0,589.27,0.03,arXiv:1909.11681,
FRB 20181220A,CHIME,NON_REPEAT,23:07:02.400,48:16:48.00,0.2746,,122.81,208.66,1.62,arXiv:2310.10018,
FRB 20181223C,CHIME,NON_REPEAT,12:04:19.200,27:34:48.00,0.03024,,19.9,112.45,0.01,arXiv:2310.10018,
FRB 20190102C,ASKAP,NON_REPEAT,21:29:39.760,-79:28:32.50,0.2913,(2),57.3,363.6,0.3,arXiv:2005.13160,
FRB 20190110C,CHIME,REPEAT,16:27:60.000,41:23:24.00,0.12244,,37,221.92,0.01,arXiv:2301.08762,
FRB 20190303A,CHIME,REPEAT,13:52:19.200,48:15:00.00,0.064,,29.39,222.4,0.7,arXiv:2212.11941,
FRB 20190418A,CHIME,NON_REPEAT,04:23:26.400,16:03:00.00,0.07132,,70.2,182.78,1.62,arXiv:2310.10018,
FRB 20190425A,CHIME,NON_REPEAT,17:04:26.400,21:34:12.00,0.03122,,49.25,127.78,1.62,arXiv:2310.10018,
,,,,,,,,,,,
FRB 20190523A,DSA-110,NON_REPEAT,13:48:15.600,72:28:11.00,0.66,0.0,37.0,760.8,0.6,arXiv:2009.10747,
FRB 20190608B,ASKAP,NON_REPEAT,22:16:04.750,-07:53:53.60,0.1178,0.0,37.2,338.7,0.5,arXiv:2005.13158,
FRB 20190611B,ASKAP,NON_REPEAT,21:22:58.910,-79:23:51.30,0.378,0.0,57.83,321.4,0.2,arXiv:2009.10747,
,,,,,,,,,,,
FRB 20190711A,ASKAP,REPEAT,21:57:40.680,-80:21:28.80,0.522,0.0,56.4,593.1,0.4,arXiv:2009.10747,
FRB 20190714A,ASKAP,NON_REPEAT,12:15:54.000,-13:00:00.00,0.2365,0.0,38.0,504.13,2.0,arXiv:2009.10747,
FRB 20191001A,ASKAP,NON_REPEAT,21:32:00.000,-54:40:00.00,0.234,0.0,44.7,506.92,0.04,arXiv:2009.10747,
FRB 20191106C,CHIME,REPEAT,13:18:19.2,43:00:07.2,0.10775,,25,333.40,0.2,arXiv:2301.08762,
FRB 20191228A,ASKAP,NON_REPEAT,22:56:60.000,-29:46:00.00,0.2432,0.0,33.0,297.5,0.05,arXiv:2108.01282,
,,,,,,,,,,,
FRB 20200223B,CHIME,REPEAT,00:33:03.6,28:49:51.6,0.06024,,46,202.268,0.007,arXiv:2301.08762,
FRB 20200430A,CRAFT,NON_REPEAT,15:18:41.000,12:20:23.00,0.16,0.0,27.0,380.25,0.5,arXiv:2009.10747,
FRB 20200906A,CRAFT,NON_REPEAT,03:35:00.000,-14:04:00.00,0.3688,0.0,36,577.8,0.02,arXiv:2108.01282,
FRB 20201123A,MeerTRAP,NON_REPEAT,17:34:40.560,-50:46:02.00,0.0507,,251.93,433.55,0.0036,arXiv:2205.14600,
FRB 20201124A,CHIME,REPEAT,05:07:57.600,26:11:24.00,0.098,,123.2,413.52,0.5,arXiv:2106.09710,
,,,,,,,,,,,
FRB 20210320C,ASKAP,NON_REPEAT,13:37:56.0,-16:07:21.7,0.2797,,42.2,384.8,0.3,In preparation,FRBSTATS
,,,,,,,,,,,
FRB 20210410D,MeerTRAP,NON_REPEAT,21:44:20.700,-79:19:05.50,0.1415,,56.2,578.78,2.0,arXiv:2302.09754,
FRB 20210603A ,CHIME,,00:41:06.0,21:13:34.6,0.1772,0.0001,40.0,500.147,0.004,arXiv:2307.09502,
FRB 20210807D,CRAFT,NON_REPEAT,19:56:49.000,-00:48:51.40,0.12927,,121.2,251.9,0.2,https://ui.adsabs.harvard.edu/abs/2023TNSFR.470....1S/exportcitation,
FRB 20211127I,CRAFT,NON_REPEAT,13:19:09.500,-18:49:28.40,0.0469,,42.5,234.83,0.08,https://ui.adsabs.harvard.edu/abs/2023TNSFR.469....1S/exportcitation,
FRB 20211203C ,CRAFT,NON_REPEAT,13:37:52.800,-31:22:04.00,0.3439,,63.4,636.2,0.4,arXiv:2305.07022,
FRB 20211212A,CRAFT,NON_REPEAT,10:30:40.700,01:40:36.80,0.0715,,27.1,206.0,5.0,https://ui.adsabs.harvard.edu/abs/2023TNSFR.469....1S/exportcitation,
